Alter;Insg;Männlich;Weiblich
                         20 - 30;15;12;3
                         30 - 40;32;24;8
                         40 - 50;56;36;20
                         50 - 60;232;156;76
                         60 - 70;399;264;135
                         70 - 80;792;478;314
                         80 u.ä.;2215;878;1337
460     Vechta                   ;;;
                         Insgesamt;1131;526;605
                         u. 1 Jahr;7;4;3
                          1 - 15;4;1;3
                         15 - 20;2;2;-
                         20 - 30;10;8;2
                         30 - 40;11;7;4
                         40 - 50;21;17;4
                         50 - 60;64;35;29
                         60 - 70;106;69;37
                         70 - 80;248;147;101
                         80 u.ä.;658;236;422
461     Wesermarsch              ;;;
                         Insgesamt;1173;595;578
                         u. 1 Jahr;6;4;2
                          1 - 15;1;1;-
                         15 - 20;-;-;-
                         20 - 30;2;2;-
                         30 - 40;5;4;1
                         40 - 50;24;17;7
                         50 - 60;68;40;28
                         60 - 70;150;91;59
                         70 - 80;280;178;102
                         80 u.ä.;637;258;379
462     Wittmund                 ;;;
                         Insgesamt;739;381;358
                         u. 1 Jahr;1;-;1
                          1 - 15;-;-;-
                         15 - 20;1;1;-
                         20 - 30;5;3;2
                         30 - 40;3;3;-
                         40 - 50;15;9;6
                         50 - 60;50;34;16
                         60 - 70;104;64;40
                         70 - 80;167;104;63
                         80 u.ä.;393;163;230
